LAT,LON,GloElev_5min,GloSlopesCl1_5min,GloSlopesCl2_5min,GloSlopesCl3_5min,GloSlopesCl4_5min,GloSlopesCl5_5min,GloSlopesCl6_5min,GloSlopesCl7_5min,GloSlopesCl8_5min,CULTRF_2000,CULTIR_2000,CULT_2000,FOR_2000,GRS_2000,URB_2000,NVG_2000,WAT_2000,sq1,sq2,sq3,sq4,sq5,sq6,sq7
13.75,-92.25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.75,-91.75,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.75,-91.25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.75,-90.75,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.75,-90.25,6,1221,4365,1329,184,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.75,-89.75,633,,75,981,3826,2612,1965,425,116,0,37.5735015869141,37.5735015869141,37.4559020996094,24.9705963134766,0,0,0,1,1,1,1,1,1,1
13.75,-89.25,502,36,649,2800,2770,1449,1511,499,286,7.2240777015686,0,7.2240777015686,2.95753526687622,3.29789447784424,86.5204925537109,0,0,1,1,1,1,1,1,1
13.75,-88.75,363,24,376,1634,2240,1512,2932,1061,221,26.883581161499,4.64311599731445,31.5266971588135,38.6547050476074,28.1421985626221,1.67639994621277,0,0,1,1,1,1,1,1,2
13.75,-88.25,1016,1,28,122,626,1240,4452,2355,1176,29.8251075744629,0,29.8251075744629,39.2997016906738,29.0563907623291,1.81879997253418,0,0,1,1,1,1,1,1,1
14.25,-92.25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.25,-91.75,41,872,5751,3239,138,,,,,52.3685607910156,7.24915981292725,59.6177215576172,3.76315975189209,30.0757179260254,5.54530000686646,0,0.998099982738495,1,1,1,1,1,1,1
14.25,-91.25,111,411,3789,4036,1614,135,15,,,56.0256271362305,4.05148220062256,60.0771102905273,17.8010940551758,17.7726955413818,4.34910011291504,0,0,1,1,1,1,1,1,1
14.25,-90.75,336,45,1067,2618,1497,855,2059,1326,533,42.589225769043,8.73082447052002,51.3200492858887,12.1371850967407,35.0702667236328,1.4724999666214,0,0,1,1,1,1,1,1,1
14.25,-90.25,1138,11,198,326,594,676,3070,3110,2015,19.3127956390381,0.464197397232056,19.7769927978516,31.1823673248291,47.0218391418457,2.0188000202179,0,0,1,1,1,1,1,1,1
14.25,-89.75,488,501,3454,1617,1060,793,1701,796,78,41.9867935180664,0.660904824733734,42.6476974487305,18.0826873779297,32.9827156066895,6.28690004348755,0,0,1,1,1,1,1,1,1
14.25,-89.25,939,6,33,263,1005,1528,4700,1888,577,63.4375228881836,0.18391540646553,63.6214370727539,15.3878564834595,17.3569068908691,3.63380002975464,0,0,1,1,1,1,1,1,1
14.25,-88.75,1029,1,3,44,207,439,2992,4019,2295,20.2550868988037,0.0419790185987949,20.2970657348633,47.3503799438477,29.8606548309326,2.4918999671936,0,0,1,1,1,1,1,1,1
14.25,-88.25,1808,27,358,1161,1973,2393,3308,649,131,2.87299013137817,0,2.87299013137817,46.8062858581543,48.9676246643066,1.35309994220734,0,0,1,1,1,1,1,1,1
14.75,-92.25,68,443,4283,4527,721,26,,,,54.7313079833984,17.5577793121338,72.2890853881836,8.22690010070801,15.9600143432617,3.5239999294281,0,0,1,1,1,2,1,1,1
14.75,-91.75,1695,1,12,130,575,1049,3248,2042,2943,2.96610736846924,0,2.96610736846924,64.3611679077148,29.5513248443604,3.12140011787415,0,0,1,1,1,1,1,1,1
14.75,-91.25,2348,17,198,1032,1812,1413,2968,1492,1068,5.21712636947632,0.137471005320549,5.35459756851196,6.22093391418457,7.18876791000366,3.45219993591309,0,77.7835006713867,7,7,7,7,7,7,7
14.75,-90.75,1388,,26,149,598,1021,3749,2816,1641,16.0402088165283,0.360642611980438,16.4008522033691,23.0526943206787,54.9520530700684,5.59439992904663,0,0,1,2,1,1,1,1,1
14.75,-90.25,880,17,329,1339,2320,1871,3075,879,170,39.3836288452148,0.43114709854126,39.8147773742676,6.16399383544922,52.6646270751953,1.35660004615784,0,0,2,2,1,1,1,1,1
14.75,-89.75,1161,2,16,113,571,810,4181,3144,1163,48.0051345825195,0,48.0051345825195,6.71608066558838,41.5630836486816,3.71569991111755,0,0,1,1,1,1,1,1,1
14.75,-89.25,658,42,323,806,1542,1395,3409,1626,857,36.8982315063477,0.0112376902252436,36.9094696044922,4.90925359725952,56.060375213623,2.12089991569519,0,0,2,1,1,1,1,1,1
14.75,-88.75,723,5,58,318,992,1544,4759,1748,576,42.655574798584,0,42.655574798584,18.8521938323975,36.2900314331055,2.20219993591309,0,0,1,1,1,1,1,1,1
14.75,-88.25,417,2,71,331,846,1393,4733,2196,428,28.4974842071533,0,28.4974842071533,29.5616874694824,40.8772277832031,1.06359994411469,0,0,1,1,1,1,1,1,1
15.25,-92.25,2290,,8,24,152,255,2140,3409,4012,1.84338343143463,0,1.84338343143463,76.2733001708984,19.7989158630371,2.08439993858337,0,0,1,1,1,1,1,1,1
15.25,-91.75,1953,,23,114,375,646,3252,3115,2475,0.473548620939255,0,0.473548620939255,29.437349319458,65.9723052978516,4.11679983139038,0,0,1,2,1,1,1,1,1
15.25,-91.25,1495,5,58,225,612,953,3587,2965,1595,0.240667805075645,0,0.240667805075645,27.4294815063477,71.1911544799805,1.13870000839233,0,0,1,2,1,1,1,1,1
15.25,-90.75,1774,,7,34,131,237,1759,3096,4736,24.0039119720459,0.566852986812592,24.570764541626,18.9643707275391,55.6174659729004,0.847399950027466,0,0,1,1,1,1,1,1,1
15.25,-90.25,1609,1,14,58,227,345,1759,2810,4786,18.4328022003174,0,18.4328022003174,21.7691497802734,58.8385467529297,0.959499955177307,0,0,1,1,1,1,1,1,1
