feature,importance_mean,importance_std,metric
YEAR,0.010949745998216898,0.0003714927057392132,average_precision
MONTH,0.008462115919127756,0.0004998378336617596,average_precision
RH2M__z,0.007515301387404305,0.000629200492591076,average_precision
T2M_RANGE__z,0.0039018290426215295,0.00038706687793241403,average_precision
PRECTOTCORR__lag6,0.0019122700562862137,0.00018601019676698822,average_precision
RH2M,0.0016341645850426855,0.00023339863560552335,average_precision
RH2M__lag6,0.001271556869992374,0.00013462658692810724,average_precision
PRECTOTCORR__lag1,0.0012394976112764522,0.00013194297456702383,average_precision
T2M_RANGE__lag1,0.0011199923871678453,0.0001594128247177172,average_precision
PS__z,0.001089646344237105,8.422174116961978e-05,average_precision
QV2M__z,0.0010060130322947503,0.00010261627384006631,average_precision
T2MDEW__z,0.0009222952236762171,5.191409070078267e-05,average_precision
RH2M__lag1,0.0008850939268422731,7.598154990670974e-05,average_precision
RH2M__lag5,0.0008258502465149475,4.856084670708809e-05,average_precision
T2M_MAX__lag4,0.0006768569541779179,5.7479639592492145e-05,average_precision
T2M_RANGE,0.0006448714964824686,9.527988487283049e-05,average_precision
T2M_MAX__lag3,0.0005614040735342773,9.931772652073758e-05,average_precision
PRECTOTCORR__lag4,0.0005476078943915885,4.8408265715880066e-05,average_precision
WS10M_MIN__z,0.0005269167614363135,7.299441566691393e-05,average_precision
T2M_MAX__z,0.000506830731757868,7.343510405202981e-05,average_precision
PRECTOTCORR__lag5,0.0005065617298295466,4.8025139681168143e-05,average_precision
T2M_RANGE__lag6,0.0005045934300833887,5.949474067206064e-05,average_precision
RH2M__lag4,0.0004875087456124083,5.964911138311075e-05,average_precision
PRECTOTCORR__roll_prev3m,0.00047602883882006395,4.524699888249963e-05,average_precision
PRECTOTCORR__lag2,0.00047435380984334197,3.8478326891739616e-05,average_precision
T2M_MAX__lag1,0.00044708417784053987,8.09571218054285e-05,average_precision
PRECTOTCORR__lag3,0.00043874171468661906,6.16836980243642e-05,average_precision
T2M_MAX,0.00042096955754856725,7.333913636388012e-05,average_precision
RH2M__roll_prev3m,0.00040452834981039574,3.467631400254491e-05,average_precision
PRECTOTCORR__roll_prev6m,0.00040387499589435996,6.208183354570939e-05,average_precision
RH2M__lag3,0.0003911930987208323,3.670662236224534e-05,average_precision
T2M_MAX__lag6,0.0003869842372858145,5.5250493892116604e-05,average_precision
QV2M__lag6,0.00038077771885002275,4.487950130451425e-05,average_precision
TS__z,0.0003771453887141285,7.819144616572201e-05,average_precision
QV2M__lag1,0.000353400762164946,6.222612055331655e-05,average_precision
WS10M_RANGE__z,0.0003484413929742525,5.022972071723169e-05,average_precision
WS2M_MIN__z,0.0003356757414377354,5.4479630207805325e-05,average_precision
QV2M__lag2,0.00032927342605528767,7.083424278926376e-05,average_precision
WS2M_RANGE__z,0.0003269933933485403,4.043912218830425e-05,average_precision
T2M_RANGE__lag5,0.00032327940994274494,3.998121932451832e-05,average_precision
T2M__z,0.0003152045183528629,3.9246763135209434e-05,average_precision
WS10M__z,0.00029462978994964083,3.9998139279710255e-05,average_precision
WS2M__z,0.0002890912077779806,3.999132331262123e-05,average_precision
WS2M_MAX__z,0.0002842234117607645,2.673107569907168e-05,average_precision
WS10M_MAX__z,0.00026567114025887183,5.531383233359525e-05,average_precision
T2MDEW__lag6,0.0002495950679425096,1.7196173359771074e-05,average_precision
RH2M__roll_prev6m,0.00023071893931226884,3.9723212184465235e-05,average_precision
T2MWET__z,0.0002095193248484506,5.7105152645209674e-05,average_precision
T2M_MIN__z,0.00020800486124435968,8.255598633366879e-05,average_precision
T2MDEW,0.0001999923500939249,3.9808600935804735e-05,average_precision
RH2M__roll6m,0.00018148582728332306,2.1860163896126438e-05,average_precision
QV2M,0.00014648053098728075,2.8021350784993512e-05,average_precision
YEAR,0.0031993676115277593,0.00012783322267460583,roc_auc
MONTH,0.002647758281118151,0.00017951030237879604,roc_auc
